iso3,year,life_expectancy
KNA,2018,71.336
KNA,2019,71.54
KOR,2010,80.1170731707317
KOR,2011,80.5682926829269
KOR,2012,80.819512195122
KOR,2013,81.2707317073171
KOR,2014,81.7219512195122
KOR,2015,82.0243902439024
KOR,2016,82.2756097560976
KOR,2017,82.6268292682927
KOR,2018,82.6268292682927
KOR,2019,83.2268292682927
KWT,2010,77.7262195121951
KWT,2011,78.052243902439
KWT,2012,78.3950243902439
KWT,2013,78.7418048780488
KWT,2014,79.0803414634146
KWT,2015,79.3765609756098
KWT,2016,79.6775853658537
KWT,2017,79.9160731707317
KWT,2018,80.1063658536585
KWT,2019,81.969756097561
LAO,2010,63.69
LAO,2011,64.505
LAO,2012,65.126
LAO,2013,65.723
LAO,2014,66.35
LAO,2015,66.688
LAO,2016,67.014
LAO,2017,67.345
LAO,2018,67.594
LAO,2019,67.911
LBN,2010,77.529
LBN,2011,77.768
LBN,2012,77.941
LBN,2013,78.037
LBN,2014,78.148
LBN,2015,78.275
LBN,2016,78.306
LBN,2017,78.192
LBN,2018,78.263
LBN,2019,78.208
LBR,2010,59.358
LBR,2011,59.486
LBR,2012,59.785
LBR,2013,59.992
LBR,2014,59.21
LBR,2015,59.248
LBR,2016,60.483
LBR,2017,60.777
LBR,2018,60.999
LBR,2019,61.232
LBY,2010,72.196
LBY,2011,69.95
LBY,2012,72.188
LBY,2013,72.339
LBY,2014,71.3
LBY,2015,71.644
LBY,2016,71.799
LBY,2017,72.721
LBY,2018,73.151
LBY,2019,72.941
LCA,2010,72.768
LCA,2011,72.962
LCA,2012,72.86
LCA,2013,72.687
LCA,2014,72.676
LCA,2015,72.932
LCA,2016,72.552
LCA,2017,72.522
LCA,2018,72.655
LCA,2019,72.249
LIE,2010,81.8414634146342
LIE,2011,81.7926829268293
LIE,2012,82.3829268292683
LIE,2013,82.2609756097561
LIE,2014,82.0731707317073
LIE,2015,82.6560975609756
LIE,2016,82.2585365853659
LIE,2017,83.7463414634147
LIE,2018,83.0414634146342
LIE,2019,84.1609756097561
LKA,2010,74.463
LKA,2011,74.74
LKA,2012,75.187
LKA,2013,75.546
LKA,2014,75.757
LKA,2015,75.99
LKA,2016,76.136
LKA,2017,76.239
LKA,2018,76.485
LKA,2019,76.698
LSO,2010,46.045
LSO,2011,46.93
LSO,2012,48.235
LSO,2013,49.547
LSO,2014,50.786
LSO,2015,51.83
LSO,2016,52.908
LSO,2017,53.874
LSO,2018,54.638
LSO,2019,55.249
LTU,2010,73.2682926829268
LTU,2011,73.5634146341464
LTU,2012,73.8634146341464
LTU,2013,73.9146341463415
LTU,2014,74.5170731707317
LTU,2015,74.3219512195122
LTU,2016,74.6707317073171
